
BUSES AND NODES IN ACTIVE CIRCUIT: ieee650

                               Coord                                 Number of     Nodes
  Bus     Base kV             (x, y)                      Keep?       Nodes        connected ...

"1"    115.000          ( 1693780      , 12277577.76  )     No           3          1    2    3 
"7"     12.470          ( 1693954.03   , 12277577.76  )     No           3          1    2    3 
"8"     12.470          ( 1694018.313  , 12277577.76  )     No           3          1    2    3 
"9"     12.470          ( 1694004.902  , 12277496     )     No           3          1    2    3 
"10"    12.470          ( 1693968.12   , 12277271.72  )     No           3          1    2    3 
"11"    12.470          ( 1693909.416  , 12276925.79  )     No           3          1    2    3 
"12"    12.470          ( 1693840.231  , 12276529.54  )     No           3          1    2    3 
"13"    12.470          ( 1693695.409  , 12276525.39  )     No           3          1    2    3 
"14"    12.470          ( 1693402.25   , 12276341     )     No           3          1    2    3 
"15"    12.470          ( 1693338.643  , 12276303.19  )     No           3          1    2    3 
"16"    12.470          ( 1693275.036  , 12276265.37  )     No           3          1    2    3 
"17"    12.470          ( 1693245.234  , 12276247.2   )     No           3          1    2    3 
"18"    12.470          ( 1693215.431  , 12276229.02  )     No           3          1    2    3 
"19"    12.470          ( 1693062.499  , 12276129.09  )     No           3          1    2    3 
"20"    12.470          ( 1692851.461  , 12276000     )     No           3          1    2    3 
"21"    12.470          ( 1692658.31   , 12275897.84  )     No           3          1    2    3 
"22"    12.470          ( 1692500.171  , 12275809.29  )     No           3          1    2    3 
"23"    12.470          ( 1692322.028  , 12275732.6   )     No           3          1    2    3 
"24"    12.470          ( 1692000      , 12275591.11  )     No           3          1    2    3 
"25"    12.470          ( 1691626.089  , 12275427.89  )     No           3          1    2    3 
"26"    12.470          ( 1691395.861  , 12275279.48  )     No           3          1    2    3 
"27"    12.470          ( 1691214.531  , 12275154.07  )     No           3          1    2    3 
"28"    12.470          ( 1691101.301  , 12275074.55  )     No           3          1    2    3 
"29"    12.470          ( 1690965.822  , 12274981.24  )     No           3          1    2    3 
"34"    12.470          ( 1690139.95   , 12275145.11  )     No           3          1    2    3 
"41"    12.470          ( 1689137.261  , 12275255.55  )     No           3          1    2    3 
"45"    12.470          ( 1689003.74   , 12275275.92  )     No           3          1    2    3 
"51"    12.470          ( 1688662.141  , 12275322.63  )     No           3          1    2    3 
"52"    12.470          ( 1688526.658  , 12275332.34  )     No           3          1    2    3 
"53"    12.470          ( 1688496.069  , 12275334.53  )     No           3          1    2    3 
"54"    12.470          ( 1688275.958  , 12275362.95  )     No           3          1    2    3 
"56"    12.470          ( 1688163.47   , 12275377.31  )     No           3          1    2    3 
"57"    12.470          ( 1687854.078  , 12275449.47  )     No           3          1    2    3 
"58"    12.470          ( 1687767.204  , 12275449.29  )     No           3          1    2    3 
"59"    12.470          ( 1687680.33   , 12275449.11  )     No           3          1    2    3 
"60"    12.470          ( 1687646.53   , 12275447.26  )     No           3          1    2    3 
"61"    12.470          ( 1687535.922  , 12275441.46  )     No           3          1    2    3 
"62"    12.470          ( 1687518.731  , 12275440.56  )     No           3          1    2    3 
"63"    12.470          ( 1687296.9    , 12275425.36  )     No           3          1    2    3 
"64"    12.470          ( 1687160.671  , 12275419.64  )     No           3          1    2    3 
"65"    12.470          ( 1687130.862  , 12275418.07  )     No           3          1    2    3 
"66"    12.470          ( 1687101.053  , 12275416.51  )     No           3          1    2    3 
"67"    12.470          ( 1687071.245  , 12275414.94  )     No           3          1    2    3 
"68"    12.470          ( 1687041.436  , 12275413.37  )     No           3          1    2    3 
"69"    12.470          ( 1686911.208  , 12275406.52  )     No           3          1    2    3 
"70"    12.470          ( 1686592.609  , 12275382.03  )     No           3          1    2    3 
"71"    12.470          ( 1686425.402  , 12275361.69  )     No           3          1    2    3 
"73"    12.470          ( 1686081.981  , 12275244.63  )     No           3          1    2    3 
"79"    12.470          ( 1685934.574  , 12275211.35  )     No           3          1    2    3 
"80"    12.470          ( 1685787.167  , 12275178.07  )     No           3          1    2    3 
"82"    12.470          ( 1685589.171  , 12275125.91  )     No           3          1    2    3 
"84"    12.470          ( 1685356.981  , 12275067.29  )     No           3          1    2    3 
"86"    12.470          ( 1685145.193  , 12275007.46  )     No           3          1    2    3 
"90"    12.470          ( 1684897.573  , 12274659.03  )     No           3          1    2    3 
"91"    12.470          ( 1684897.52   , 12274658.97  )     No           3          1    2    3 
"93"    12.470          ( 1684774.169  , 12274502.05  )     No           3          1    2    3 
"95"    12.470          ( 1684664.306  , 12274365.06  )     No           3          1    2    3 
"96"    12.470          ( 1684660.784  , 12274361.02  )     No           3          1    2    3 
"98"    12.470          ( 1684492.229  , 12274167.74  )     No           3          1    2    3 
"99"    12.470          ( 1684327.312  , 12273985.19  )     No           3          1    2    3 
"100"   12.470          ( 1684366.572  , 12273768.47  )     No           3          1    2    3 
"102"   12.470          ( 1684406.729  , 12273686.14  )     No           3          1    2    3 
"106"   12.470          ( 1684789.181  , 12273453.59  )     No           3          1    2    3 
"111"   12.470          ( 1685271.46   , 12273423.84  )     No           3          1    2    3 
"124"   12.470          ( 1686201.789  , 12273141.31  )     No           3          1    2    3 
"101"   12.470          ( 1684121.84   , 12273758.95  )     No           3          1    2    3 
"104"   12.470          ( 1683921.112  , 12273546.17  )     No           3          1    2    3 
"105"   12.470          ( 1683853.921  , 12273477.45  )     No           3          1    2    3 
"107"   12.470          ( 1683710.27   , 12273327.12  )     No           3          1    2    3 
"110"   12.470          ( 1683476.048  , 12273178.61  )     No           3          1    2    3 
"114"   12.470          ( 1683334.298  , 12273089.39  )     No           3          1    2    3 
"115"   12.470          ( 1683219.528  , 12273025.77  )     No           3          1    2    3 
"118"   12.470          ( 1682961.189  , 12272876.42  )     No           3          1    2    3 
"119"   12.470          ( 1682841.209  , 12272808.65  )     No           3          1    2    3 
"121"   12.470          ( 1682656.668  , 12272704.41  )     No           3          1    2    3 
"128"   12.470          ( 1682430.399  , 12272573.58  )     No           3          1    2    3 
"129"   12.470          ( 1682204.13   , 12272442.75  )     No           3          1    2    3 
"131"   12.470          ( 1681953.422  , 12272291.41  )     No           3          1    2    3 
"132"   12.470          ( 1681744.616  , 12272155.92  )     No           3          1    2    3 
"136"   12.470          ( 1681629.191  , 12272081.02  )     No           3          1    2    3 
"141"   12.470          ( 1681524.378  , 12271788.59  )     No           3          1    2    3 
"143"   12.470          ( 1681478.802  , 12271556.13  )     No           3          1    2    3 
"148"   12.470          ( 1681411.681  , 12271272.54  )     No           3          1    2    3 
"153"   12.470          ( 1681297.902  , 12270990.59  )     No           3          1    2    3 
"156"   12.470          ( 1681227.045  , 12270883     )     No           3          1    2    3 
"159"   12.470          ( 1681079.888  , 12270659.54  )     No           3          1    2    3 
"164"   12.470          ( 1680836.508  , 12270559.92  )     No           3          1    2    3 
"168"   12.470          ( 1680562.4    , 12270541.41  )     No           3          1    2    3 
"170"   12.470          ( 1680264.342  , 12270391.39  )     No           3          1    2    3 
"178"   12.470          ( 1679930.256  , 12270197.58  )     No           3          1    2    3 
"183"   12.470          ( 1679706.024  , 12270138.29  )     No           3          1    2    3 
"187"   12.470          ( 1679428.328  , 12270111.81  )     No           3          1    2    3 
"188"   12.470          ( 1679300.369  , 12270099.6   )     No           3          1    2    3 
"189"   12.470          ( 1679283.723  , 12270098.02  )     No           3          1    2    3 
"200"   12.470          ( 1679025.65   , 12270065.24  )     No           3          1    2    3 
"204"   12.470          ( 1678821.829  , 12269978.71  )     No           3          1    2    3 
"210"   12.470          ( 1678554.229  , 12269872.86  )     No           3          1    2    3 
"220"   12.470          ( 1678190.189  , 12269607.23  )     No           3          1    2    3 
"226"   12.470          ( 1677893.942  , 12269397.97  )     No           3          1    2    3 
"228"   12.470          ( 1677603.351  , 12269196.21  )     No           3          1    2    3 
"229"   12.470          ( 1677487.479  , 12269148.05  )     No           3          1    2    3 
"230"   12.470          ( 1677199.842  , 12269021.6   )     No           3          1    2    3 
"231"   12.470          ( 1677131.332  , 12268993.86  )     No           3          1    2    3 
"232"   12.470          ( 1677062.822  , 12268966.12  )     No           3          1    2    3 
"234"   12.470          ( 1676994.313  , 12268938.38  )     No           3          1    2    3 
"233"   12.470          ( 1676925.803  , 12268910.64  )     No           3          1    2    3 
"235"   12.470          ( 1676908.1    , 12268903.48  )     No           3          1    2    3 
"237"   12.470          ( 1676733.561  , 12268828.22  )     No           3          1    2    3 
"238"   12.470          ( 1676496.022  , 12268725.48  )     No           3          1    2    3 
"241"   12.470          ( 1676011.121  , 12268510.46  )     No           3          1    2    3 
"243"   12.470          ( 1675750.869  , 12268360.81  )     No           3          1    2    3 
"244"   12.470          ( 1675648.949  , 12268281.89  )     No           3          1    2    3 
"246"   12.470          ( 1675446.082  , 12268159.05  )     No           3          1    2    3 
"247"   12.470          ( 1675374.98   , 12268112.95  )     No           3          1    2    3 
"249"   12.470          ( 1675199.13   , 12267998.95  )     No           3          1    2    3 
"250"   12.470          ( 1675076.803  , 12267924.89  )     No           3          1    2    3 
"251"   12.470          ( 1675055.801  , 12267912.17  )     No           3          1    2    3 
"252"   12.470          ( 1675034.799  , 12267899.46  )     No           3          1    2    3 
"255"   12.470          ( 1674785.921  , 12267722.97  )     No           3          1    2    3 
"257"   12.470          ( 1674600.999  , 12267568.94  )     No           3          1    2    3 
"260"   12.470          ( 1674340.449  , 12267337.64  )     No           3          1    2    3 
"262"   12.470          ( 1674122.951  , 12267129.31  )     No           3          1    2    3 
"264"   12.470          ( 1673984.06   , 12266990.31  )     No           3          1    2    3 
"268"   12.470          ( 1673706.032  , 12266690.1   )     No           3          1    2    3 
"271"   12.470          ( 1673488.37   , 12266442.21  )     No           3          1    2    3 
"277"   12.470          ( 1673104.079  , 12266003.77  )     No           3          1    2    3 
"284"   12.470          ( 1672847.379  , 12265706.56  )     No           3          1    2    3 
"288"   12.470          ( 1672776.551  , 12265616.62  )     No           3          1    2    3 
"292"   12.470          ( 1672616.09   , 12265429.31  )     No           3          1    2    3 
"294"   12.470          ( 1672458.681  , 12265257.65  )     No           3          1    2    3 
"296"   12.470          ( 1672374.688  , 12265166.11  )     No           3          1    2    3 
"300"   12.470          ( 1672218.172  , 12264992.42  )     No           3          1    2    3 
"302"   12.470          ( 1672079.879  , 12264837.23  )     No           3          1    2    3 
"307"   12.470          ( 1671966.149  , 12264735.59  )     No           3          1    2    3 
"312"   12.470          ( 1671856.241  , 12264646.38  )     No           3          1    2    3 
"315"   12.470          ( 1671718.181  , 12264532.1   )     No           3          1    2    3 
"321"   12.470          ( 1671536.888  , 12264379.6   )     No           3          1    2    3 
"324"   12.470          ( 1671346.441  , 12264185.53  )     No           3          1    2    3 
"327"   12.470          ( 1671295.637  , 12264130.79  )     No           3          1    2    3 
"328"   12.470          ( 1671244.833  , 12264076.05  )     No           3          1    2    3 
"329"   12.470          ( 1671194.028  , 12264021.31  )     No           3          1    2    3 
"330"   12.470          ( 1671172.729  , 12264000     )     No           3          1    2    3 
"333"   12.470          ( 1670954.63   , 12263788.52  )     No           3          1    2    3 
"335"   12.470          ( 1670855.261  , 12263685.75  )     No           3          1    2    3 
"337"   12.470          ( 1670735.69   , 12263567.73  )     No           3          1    2    3 
"339"   12.470          ( 1670702.201  , 12263533.04  )     No           3          1    2    3 
"350"   12.470          ( 1670458.301  , 12263309.31  )     No           3          1    2    3 
"351"   12.470          ( 1670421.33   , 12263275.99  )     No           3          1    2    3 
"353"   12.470          ( 1670360.03   , 12263220.75  )     No           3          1    2    3 
"354"   12.470          ( 1670354.709  , 12263215.46  )     No           3          1    2    3 
"355"   12.470          ( 1670349.388  , 12263210.18  )     No           3          1    2    3 
"357"   12.470          ( 1670200.47   , 12263062.34  )     No           3          1    2    3 
"360"   12.470          ( 1669897.259  , 12262766.22  )     No           3          1    2    3 
"362"   12.470          ( 1669665.008  , 12262537.76  )     No           3          1    2    3 
"369"   12.470          ( 1669497.06   , 12262370.69  )     No           3          1    2    3 
"370"   12.470          ( 1669332.888  , 12262215.36  )     No           3          1    2    3 
"376"   12.470          ( 1669187.75   , 12262068.88  )     No           3          1    2    3 
"379"   12.470          ( 1669073.718  , 12261975.16  )     No           3          1    2    3 
"383"   12.470          ( 1668869.356  , 12261838.04  )     No           3          1    2    3 
"386"   12.470          ( 1668746.828  , 12261737.31  )     No           3          1    2    3 
"388"   12.470          ( 1668696.701  , 12261694.49  )     No           3          1    2    3 
"393"   12.470          ( 1668463.131  , 12261521.43  )     No           3          1    2    3 
"397"   12.470          ( 1668291.759  , 12261398.93  )     No           3          1    2    3 
"407"   12.470          ( 1668077.62   , 12261226.41  )     No           3          1    2    3 
"410"   12.470          ( 1668000      , 12261168.08  )     No           3          1    2    3 
"414"   12.470          ( 1667896.4    , 12261094.43  )     No           3          1    2    3 
"420"   12.470          ( 1667712.502  , 12260947.01  )     No           3          1    2    3 
"428"   12.470          ( 1667488.84   , 12260775.16  )     No           3          1    2    3 
"434"   12.470          ( 1667373.951  , 12260653.75  )     No           3          1    2    3 
"439"   12.470          ( 1667209.509  , 12260500.24  )     No           3          1    2    3 
"445"   12.470          ( 1667082.361  , 12260380.9   )     No           3          1    2    3 
"451"   12.470          ( 1666972.511  , 12260276.84  )     No           3          1    2    3 
"454"   12.470          ( 1666837.31   , 12260148.76  )     No           3          1    2    3 
"460"   12.470          ( 1666752.175  , 12260066.62  )     No           3          1    2    3 
"463"   12.470          ( 1666671.36   , 12259988.93  )     No           3          1    2    3 
"363"   12.470          ( 1669677.591  , 12262532.32  )     No           3          1    2    3 
"364"   12.470          ( 1669694.901  , 12262524.84  )     No           3          1    2    3 
"365"   12.470          ( 1669707.025  , 12262519.77  )     No           3          1    2    3 
"366"   12.470          ( 1669719.149  , 12262514.71  )     No           3          1    2    3 
"368"   12.470          (           NA,            NA )     No           3          1    2    3 
"215"   12.470          ( 1678531.484  , 12270114.8   )     No           3          1    2    3 
"217"   12.470          ( 1678635.002  , 12270171.43  )     No           3          1    2    3 
"223"   12.470          ( 1678503.959  , 12270356.23  )     No           3          1    2    3 
"72"    12.470          ( 1686223.899  , 12275501.15  )     No           3          1    2    3 
"74"    12.470          ( 1686060.608  , 12275612.64  )     No           3          1    2    3 
"75"    12.470          ( 1686023.265  , 12275638.56  )     No           3          1    2    3 
"76"    12.470          ( 1686005.244  , 12275651.47  )     No           3          1    2    3 
"77"    12.470          ( 1685987.223  , 12275664.37  )     No           3          1    2    3 
"78"    12.470          ( 1685969.202  , 12275677.28  )     No           3          1    2    3 
"81"    12.470          ( 1685812.308  , 12275785.12  )     No           3          1    2    3 
"83"    12.470          ( 1685676.71   , 12275880.78  )     No           3          1    2    3 
"85"    12.470          ( 1685492.44   , 12276001.54  )     No           3          1    2    3 
"87"    12.470          ( 1685325.72   , 12276115.48  )     No           3          1    2    3 
"88"    12.470          ( 1685132.311  , 12276242.56  )     No           3          1    2    3 
"89"    12.470          ( 1684985.461  , 12276341.43  )     No           3          1    2    3 
"92"    12.470          ( 1684905.47   , 12276397.93  )     No           3          1    2    3 
"94"    12.470          ( 1684789.447  , 12276444.91  )     No           3          1    2    3 
"97"    12.470          ( 1684642.212  , 12276548.99  )     No           3          1    2    3 
"103"   12.470          ( 1683929.877  , 12277025.27  )     No           3          1    2    3 
"108"   12.470          ( 1683409.181  , 12277242.58  )     No           3          1    2    3 
"109"   12.470          ( 1683294.645  , 12277397.45  )     No           3          1    2    3 
"112"   12.470          ( 1683189.439  , 12277539.7   )     No           3          1    2    3 
"113"   12.470          ( 1683180.272  , 12277580.58  )     No           3          1    2    3 
"116"   12.470          ( 1683143.941  , 12277742.56  )     No           3          1    2    3 
"117"   12.470          ( 1683134.909  , 12277782.83  )     No           3          1    2    3 
"120"   12.470          ( 1682734.341  , 12277838.79  )     No           3          1    2    3 
"122"   12.470          ( 1682627.087  , 12277859.08  )     No           3          1    2    3 
"123"   12.470          ( 1682519.833  , 12277879.37  )     No           3          1    2    3 
"125"   12.470          ( 1682339.449  , 12277913.5   )     No           3          1    2    3 
"126"   12.470          ( 1682254.818  , 12277926.43  )     No           3          1    2    3 
"127"   12.470          ( 1682159.561  , 12277912.92  )     No           3          1    2    3 
"130"   12.470          ( 1682030.5    , 12277936.38  )     No           3          1    2    3 
"133"   12.470          ( 1681852.82   , 12278475.17  )     No           3          1    2    3 
"134"   12.470          ( 1681837.677  , 12278479.7   )     No           3          1    2    3 
"135"   12.470          ( 1681819.524  , 12278485.12  )     No           3          1    2    3 
"139"   12.470          ( 1681592.511  , 12278552.97  )     No           3          1    2    3 
"140"   12.470          ( 1681586.42   , 12278554.79  )     No           3          1    2    3 
"137"   12.470          ( 1681808.231  , 12278691.89  )     No           3          1    2    3 
"138"   12.470          ( 1681804.921  , 12278707.63  )     No           3          1    2    3 
"142"   12.470          ( 1681762.319  , 12278912.14  )     No           3          1    2    3 
"144"   12.470          ( 1681693.191  , 12279248.51  )     No           3          1    2    3 
"149"   12.470          ( 1681619.332  , 12279589.92  )     No           3          1    2    3 
"150"   12.470          ( 1681618.052  , 12279595.25  )     No           3          1    2    3 
"151"   12.470          ( 1681616.772  , 12279600.58  )     No           3          1    2    3 
"152"   12.470          ( 1681611.971  , 12279621.17  )     No           3          1    2    3 
"154"   12.470          ( 1681580.125  , 12279757.81  )     No           3          1    2    3 
"157"   12.470          ( 1681551.858  , 12279879.09  )     No           3          1    2    3 
"161"   12.470          ( 1681500.4    , 12280084.72  )     No           3          1    2    3 
"163"   12.470          ( 1681467.988  , 12280220.66  )     No           3          1    2    3 
"165"   12.470          ( 1681438.321  , 12280344.78  )     No           3          1    2    3 
"166"   12.470          ( 1681436.433  , 12280349.92  )     No           3          1    2    3 
"169"   12.470          ( 1681350.892  , 12280581.01  )     No           3          1    2    3 
"172"   12.470          ( 1681252.821  , 12280907.38  )     No           3          1    2    3 
"173"   12.470          ( 1681215.671  , 12280970.67  )     No           3          1    2    3 
"174"   12.470          ( 1681157.753  , 12281069.35  )     No           3          1    2    3 
"175"   12.470          ( 1681135.68   , 12281106.96  )     No           3          1    2    3 
"179"   12.470          ( 1681066.658  , 12281234.17  )     No           3          1    2    3 
"184"   12.470          ( 1680936.258  , 12281479.45  )     No           3          1    2    3 
"185"   12.470          ( 1680878.963  , 12281587.24  )     No           3          1    2    3 
"186"   12.470          ( 1680861.731  , 12281619.65  )     No           3          1    2    3 
"190"   12.470          ( 1680818.969  , 12281860.2   )     No           3          1    2    3 
"198"   12.470          ( 1680795.958  , 12282007.64  )     No           3          1    2    3 
"199"   12.470          ( 1680783.092  , 12282090.07  )     No           3          1    2    3 
"203"   12.470          ( 1680741.108  , 12282264.08  )     No           3          1    2    3 
"205"   12.470          ( 1680709.057  , 12282417.1   )     No           3          1    2    3 
"213"   12.470          ( 1680654.822  , 12282665.06  )     No           3          1    2    3 
"216"   12.470          ( 1680603.552  , 12282881.79  )     No           3          1    2    3 
"219"   12.470          ( 1680584.412  , 12282944.5   )     No           3          1    2    3 
"218"   12.470          ( 1680565.271  , 12283007.21  )     No           3          1    2    3 
"221"   12.470          ( 1680545.687  , 12283074.22  )     No           3          1    2    3 
"222"   12.470          ( 1680526.102  , 12283141.22  )     No           3          1    2    3 
"224"   12.470          ( 1680506.518  , 12283208.23  )     No           3          1    2    3 
"225"   12.470          ( 1680446.602  , 12283263.32  )     No           3          1    2    3 
"227"   12.470          ( 1680184.171  , 12283418.87  )     No           3          1    2    3 
"236"   12.470          ( 1679221.619  , 12283309.44  )     No           3          1    2    3 
"239"   12.470          ( 1678834.33   , 12283142.56  )     No           3          1    2    3 
"240"   12.470          ( 1678534.151  , 12283007.48  )     No           3          1    2    3 
"242"   12.470          ( 1678293.38   , 12282893.04  )     No           3          1    2    3 
"245"   12.470          ( 1677997.988  , 12282799.75  )     No           3          1    2    3 
"248"   12.470          ( 1677674.101  , 12282933.96  )     No           3          1    2    3 
"253"   12.470          ( 1677152.93   , 12283190.43  )     No           3          1    2    3 
"254"   12.470          ( 1677141.175  , 12283196.35  )     No           3          1    2    3 
"256"   12.470          ( 1676956.552  , 12283289.37  )     No           3          1    2    3 
"258"   12.470          ( 1676785.302  , 12283353.93  )     No           3          1    2    3 
"259"   12.470          ( 1676712.59   , 12283381.5   )     No           3          1    2    3 
"261"   12.470          ( 1676365.749  , 12283420.31  )     No           3          1    2    3 
"263"   12.470          ( 1676101.557  , 12283415.44  )     No           3          1    2    3 
"265"   12.470          ( 1675935.972  , 12283419.46  )     No           3          1    2    3 
"266"   12.470          ( 1675852.221  , 12283429.85  )     No           3          1    2    3 
"267"   12.470          ( 1675769.31   , 12283440.15  )     No           3          1    2    3 
"269"   12.470          ( 1675620.342  , 12283456.12  )     No           3          1    2    3 
"270"   12.470          ( 1675435.039  , 12283475.99  )     No           3          1    2    3 
"272"   12.470          ( 1675239.68   , 12283477.75  )     No           3          1    2    3 
"273"   12.470          ( 1675130.35   , 12283478.73  )     No           3          1    2    3 
"274"   12.470          ( 1675081.821  , 12283466.17  )     No           3          1    2    3 
"275"   12.470          ( 1675060.009  , 12283495.82  )     No           3          1    2    3 
"276"   12.470          ( 1674816.162  , 12283706.61  )     No           3          1    2    3 
"278"   12.470          ( 1674735.561  , 12283782.77  )     No           3          1    2    3 
"279"   12.470          ( 1674640.407  , 12283872.68  )     No           3          1    2    3 
"280"   12.470          ( 1674607.012  , 12283905.48  )     No           3          1    2    3 
"281"   12.470          ( 1674580.552  , 12283931.48  )     No           3          1    2    3 
"282"   12.470          ( 1674554.092  , 12283957.47  )     No           3          1    2    3 
"283"   12.470          ( 1674536.811  , 12283975.54  )     No           3          1    2    3 
"285"   12.470          ( 1674482.117  , 12284032.81  )     No           3          1    2    3 
"287"   12.470          ( 1674456.64   , 12284059.48  )     No           3          1    2    3 
"289"   12.470          ( 1674385.918  , 12284134.07  )     No           3          1    2    3 
"293"   12.470          ( 1674181.852  , 12284222.01  )     No           3          1    2    3 
"295"   12.470          ( 1674021.759  , 12284308.49  )     No           3          1    2    3 
"299"   12.470          ( 1673769.249  , 12284448.87  )     No           3          1    2    3 
"301"   12.470          ( 1673621.347  , 12284529.97  )     No           3          1    2    3 
"303"   12.470          ( 1673535.56   , 12284577.01  )     No           3          1    2    3 
"305"   12.470          ( 1673465.686  , 12284513.92  )     No           3          1    2    3 
"311"   12.470          ( 1673371.941  , 12284429.27  )     No           3          1    2    3 
"313"   12.470          ( 1673234.75   , 12284368.13  )     No           3          1    2    3 
"314"   12.470          ( 1673205.824  , 12284340.25  )     No           3          1    2    3 
"316"   12.470          ( 1673171.701  , 12284307.37  )     No           3          1    2    3 
"317"   12.470          ( 1673137.578  , 12284274.49  )     No           3          1    2    3 
"318"   12.470          ( 1673103.456  , 12284241.61  )     No           3          1    2    3 
"320"   12.470          ( 1673069.333  , 12284208.73  )     No           3          1    2    3 
"322"   12.470          ( 1672969.051  , 12284112.09  )     No           3          1    2    3 
"323"   12.470          ( 1672858.27   , 12284010.93  )     No           3          1    2    3 
"331"   12.470          ( 1672604.92   , 12283769.54  )     No           3          1    2    3 
"340"   12.470          ( 1672117.418  , 12283282.83  )     No           3          1    2    3 
"342"   12.470          ( 1672089.611  , 12283254.85  )     No           3          1    2    3 
"344"   12.470          ( 1672060.859  , 12283225.32  )     No           3          1    2    3 
"343"   12.470          ( 1672032.107  , 12283195.79  )     No           3          1    2    3 
"345"   12.470          ( 1672014.577  , 12283177.76  )     No           3          1    2    3 
"346"   12.470          ( 1671997.048  , 12283159.74  )     No           3          1    2    3 
"347"   12.470          ( 1671979.518  , 12283141.71  )     No           3          1    2    3 
"348"   12.470          ( 1672012.319  , 12283106.58  )     No           3          1    2    3 
"349"   12.470          ( 1672032.193  , 12283103.26  )     No           3          1    2    3 
"352"   12.470          ( 1672170.998  , 12283080.04  )     No           3          1    2    3 
"356"   12.470          ( 1671749.569  , 12282953.56  )     No           3          1    2    3 
"358"   12.470          ( 1671591.57   , 12282867.56  )     No           3          1    2    3 
"359"   12.470          ( 1671310.24   , 12282700.41  )     No           3          1    2    3 
"361"   12.470          ( 1670978.485  , 12282522.54  )     No           3          1    2    3 
"367"   12.470          ( 1670841.691  , 12282449.2   )     No           3          1    2    3 
"371"   12.470          ( 1670503.562  , 12282443.85  )     No           3          1    2    3 
"372"   12.470          ( 1670472.242  , 12282432.5   )     No           3          1    2    3 
"373"   12.470          ( 1670440.922  , 12282421.15  )     No           3          1    2    3 
"380"   12.470          ( 1670054.28   , 12282289.44  )     No           3          1    2    3 
"381"   12.470          ( 1669973.121  , 12282253     )     No           3          1    2    3 
"384"   12.470          ( 1669891.148  , 12282216.19  )     No           3          1    2    3 
"392"   12.470          ( 1669570.571  , 12282032.03  )     No           3          1    2    3 
