Element, I1_1, Ang1_1, I1_2, Ang1_2, I1_3, Ang1_3, I1_4, Ang1_4, Iresid1, AngResid1, I2_1, Ang2_1, I2_2, Ang2_2, I2_3, Ang2_3, I2_4, Ang2_4, Iresid2, AngResid2
Vsource.SOURCE,    59.6991,   171.01,    54.4678,    52.94,    58.9119,   -63.66,          0,     0.00, 1.50111E-008,    96.94,    59.6991,    -8.99,    54.4678,  -127.06,    58.9119,   116.34,          0,     0.00, 1.50111E-008,   -83.06
Line.LN5815900-1,    549.391,   -37.86,      531.6,  -159.06,    499.257,    87.53,          0,     0.00,     50.058,  -145.46,    549.391,   142.14,      531.6,    20.94,    499.257,   -92.47,          0,     0.00,     50.058,    34.54
Line.LN5742828-1,    549.391,   -37.86,      531.6,  -159.06,    499.257,    87.53,          0,     0.00,     50.058,  -145.46,    549.391,   142.14,      531.6,    20.94,    499.257,   -92.47,          0,     0.00,     50.058,    34.54
Line.LN5742828-2,    549.391,   -37.86,      531.6,  -159.06,    498.717,    87.55,          0,     0.00,    50.5136,  -145.09,    549.391,   142.14,      531.6,    20.94,    498.716,   -92.45,          0,     0.00,    50.5137,    34.91
Line.LN5473414-1,    549.391,   -37.86,      531.6,  -159.06,    498.716,    87.55,          0,     0.00,    50.5137,  -145.09,    549.392,   142.14,    531.601,    20.94,    498.716,   -92.45,          0,     0.00,    50.5138,    34.91
Line.LN5714974-1,    549.392,   -37.86,    531.601,  -159.06,    498.716,    87.55,          0,     0.00,    50.5138,  -145.09,    549.392,   142.14,    531.601,    20.94,    498.716,   -92.45,          0,     0.00,    50.5138,    34.92
Line.LN5896798-1,    549.392,   -37.86,    531.601,  -159.06,    498.716,    87.55,          0,     0.00,    50.5138,  -145.08,    549.392,   142.14,    531.601,    20.94,    498.716,   -92.45,          0,     0.00,    50.5139,    34.92
Line.LN5775442-1,    549.392,   -37.86,    531.601,  -159.06,    498.716,    87.55,          0,     0.00,    50.5139,  -145.08,    549.392,   142.14,    531.602,    20.94,    498.715,   -92.45,          0,     0.00,    50.5139,    34.92
Line.CAP_1A,    549.151,   -37.85,          0,     0.00,          0,     0.00,          0,     0.00,    549.151,   -37.85,    549.151,   142.15,          0,     0.00,          0,     0.00,          0,     0.00,    549.151,   142.15
Line.LN5513564-2,    549.151,   -37.85,    531.602,  -159.06,    498.715,    87.55,          0,     0.00,    50.5354,  -145.36,    549.151,   142.15,    531.602,    20.94,    498.715,   -92.45,          0,     0.00,    50.5355,    34.64
Line.LN5513564-1,    552.814,   -42.34,    536.324,  -163.68,    498.838,    82.54,          0,     0.00,    50.1896,  -145.44,    552.814,   137.66,    536.324,    16.32,    498.838,   -97.46,          0,     0.00,    50.1897,    34.56
Line.XJ171_48332_SW,    552.814,   -42.34,    536.324,  -163.68,    498.838,    82.54,          0,     0.00,    50.1897,  -145.44,    552.814,   137.66,    536.324,    16.32,    498.838,   -97.46,          0,     0.00,    50.1897,    34.56
Line.LN6321409-1,    552.814,   -42.34,    536.324,  -163.68,    498.838,    82.54,          0,     0.00,    50.1897,  -145.44,    552.815,   137.66,    536.325,    16.32,    498.838,   -97.46,          0,     0.00,    50.1897,    34.56
Line.LN5654466-1,    552.815,   -42.34,    536.325,  -163.68,    464.146,    83.49,          0,     0.00,    81.8275,  -130.81,    552.815,   137.66,    536.325,    16.32,    464.146,   -96.51,          0,     0.00,    81.8276,    49.19
Line.LN6291242-1,    552.815,   -42.34,    536.325,  -163.68,    464.146,    83.49,          0,     0.00,    81.8276,  -130.81,    552.815,   137.66,    536.325,    16.32,    464.146,   -96.51,          0,     0.00,    81.8276,    49.19
Line.LN5654472-1,    547.361,   -42.26,    536.325,  -163.68,    464.146,    83.49,          0,     0.00,    81.0808,  -134.65,    547.362,   137.74,    536.326,    16.32,    464.146,   -96.51,          0,     0.00,    81.0808,    45.35
Line.LN5594242-1,    547.362,   -42.26,    536.326,  -163.68,    464.146,    83.49,          0,     0.00,    81.0808,  -134.65,    547.362,   137.74,    536.326,    16.32,    464.146,   -96.51,          0,     0.00,    81.0808,    45.35
Line.LN6351519-1,    547.362,   -42.26,    536.326,  -163.68,     463.32,    83.51,          0,     0.00,    81.8539,  -134.41,    547.363,   137.74,    536.327,    16.32,    463.319,   -96.49,          0,     0.00,     81.854,    45.59
Line.LN6261021-1,    547.363,   -42.26,    536.327,  -163.68,    463.319,    83.51,          0,     0.00,     81.854,  -134.41,    547.363,   137.74,    536.328,    16.32,    463.319,   -96.49,          0,     0.00,    81.8541,    45.59
Line.LN5473440-1,    546.619,   -42.25,    536.328,  -163.68,    463.319,    83.51,          0,     0.00,    81.7699,  -134.93,    546.619,   137.75,    536.328,    16.32,    463.319,   -96.49,          0,     0.00,      81.77,    45.07
Line.LN5866268-1,    545.374,   -42.23,    536.328,  -163.68,    463.319,    83.51,          0,     0.00,    81.6423,  -135.81,    545.374,   137.77,    536.328,    16.32,    463.319,   -96.49,          0,     0.00,    81.6423,    44.19
Line.LN6048634-1,    545.374,   -42.23,    536.328,  -163.68,    463.319,    83.51,          0,     0.00,    81.6423,  -135.81,    545.374,   137.77,    536.329,    16.32,    463.319,   -96.49,          0,     0.00,    81.6424,    44.19
Line.LN6504019-5,    545.374,   -42.23,    536.329,  -163.68,    463.319,    83.51,          0,     0.00,    81.6424,  -135.81,    545.374,   137.77,    536.329,    16.32,    463.319,   -96.49,          0,     0.00,    81.6424,    44.19
Line.LN6504020-2,    529.138,   -41.95,     512.47,  -163.32,    445.935,    84.08,          0,     0.00,    76.8869,  -131.90,    529.139,   138.05,    512.471,    16.68,    445.934,   -95.93,          0,     0.00,     76.887,    48.10
Line.LN6504018-1,    529.139,   -41.95,    512.471,  -163.32,    445.934,    84.07,          0,     0.00,     76.887,  -131.90,     529.14,   138.05,    512.473,    16.67,    445.933,   -95.93,          0,     0.00,    76.8872,    48.10
Line.LN5957526-1,     529.14,   -41.95,    512.473,  -163.33,    440.166,    84.28,          0,     0.00,    82.5097,  -130.43,     529.14,   138.05,    512.473,    16.67,    440.166,   -95.72,          0,     0.00,    82.5097,    49.57
Line.LN5715052-1,    526.612,   -41.90,    512.473,  -163.33,    440.166,    84.28,          0,     0.00,    82.0245,  -132.19,    526.613,   138.10,    512.474,    16.67,    440.165,   -95.72,          0,     0.00,    82.0246,    47.81
Line.LN5866308-1,    526.613,   -41.90,    511.647,  -163.31,    440.165,    84.28,          0,     0.00,    81.3883,  -131.81,    526.613,   138.10,    511.647,    16.69,    440.165,   -95.72,          0,     0.00,    81.3883,    48.19
Line.LN6412354-1,    518.795,   -41.74,    511.647,  -163.31,    440.165,    84.28,          0,     0.00,    80.3185,  -137.39,    518.796,   138.26,    511.647,    16.69,    440.165,   -95.72,          0,     0.00,    80.3185,    42.61
Line.LN6412355-1,    518.796,   -41.74,    511.647,  -163.31,    440.165,    84.28,          0,     0.00,    80.3185,  -137.39,    518.796,   138.26,    511.648,    16.69,    440.165,   -95.72,          0,     0.00,    80.3185,    42.61
