Bus,  3-Phase,  1-Phase,  L-L
1           ,   69715055,   69369064,   60299678
7           ,       7145,       7533,       6162
8           ,       7098,       7444,       6123
9           ,       7039,       7332,       6074
10          ,       6881,       7043,       5942
11          ,       6651,       6641,       5749
12          ,       6405,       6234,       5542
13          ,       6320,       6099,       5471
14          ,       6127,       5774,       5308
15          ,       6121,       5769,       5303
16          ,       6042,       5641,       5237
17          ,       6006,       5584,       5206
18          ,       6001,       5579,       5202
19          ,       5908,       5435,       5123
20          ,       5786,       5250,       5020
21          ,       5682,       5098,       4932
22          ,       5599,       4979,       4862
23          ,       5513,       4858,       4789
24          ,       5362,       4654,       4661
25          ,       5198,       4440,       4522
26          ,       5093,       4308,       4433
27          ,       5012,       4208,       4363
28          ,       4962,       4148,       4321
29          ,       4905,       4079,       4272
34          ,       4626,       3756,       4033
41          ,       4334,       3438,       3781
45          ,       4298,       3399,       3749
51          ,       4209,       3306,       3671
52          ,       4175,       3271,       3642
53          ,       4167,       3263,       3635
54          ,       4113,       3208,       3587
56          ,       4085,       3181,       3564
57          ,       4011,       3107,       3499
58          ,       3971,       3068,       3464
59          ,       3969,       3066,       3462
60          ,       3962,       3059,       3456
61          ,       3937,       3035,       3434
62          ,       3933,       3031,       3431
63          ,       3885,       2984,       3388
64          ,       3855,       2956,       3363
65          ,       3834,       2936,       3344
66          ,       3832,       2935,       3342
67          ,       3830,       2933,       3340
68          ,       3826,       2930,       3337
69          ,       3799,       2905,       3314
70          ,       3735,       2847,       3258
71          ,       3703,       2813,       3229
73          ,       3626,       2735,       3164
79          ,       3564,       2674,       3111
80          ,       3562,       2673,       3109
82          ,       3521,       2633,       3074
84          ,       3475,       2587,       3035
86          ,       3433,       2547,       2999
90          ,       3355,       2472,       2933
91          ,       3355,       2472,       2933
93          ,       3321,       2439,       2903
95          ,       3291,       2410,       2877
96          ,       3289,       2408,       2875
98          ,       3247,       2368,       2838
99          ,       3208,       2330,       2803
100         ,       3110,       2253,       2714
102         ,       3071,       2222,       2678
106         ,       2880,       2077,       2505
111         ,       2694,       1941,       2337
124         ,       2361,       1707,       2040
101         ,       3160,       2285,       2761
104         ,       3116,       2244,       2722
105         ,       3101,       2231,       2710
107         ,       3071,       2203,       2683
110         ,       3031,       2166,       2648
114         ,       3008,       2145,       2628
115         ,       2990,       2128,       2612
118         ,       2949,       2091,       2576
119         ,       2931,       2075,       2560
121         ,       2903,       2050,       2536
128         ,       2837,       1991,       2478
129         ,       2836,       1991,       2477
131         ,       2800,       1959,       2445
132         ,       2770,       1933,       2419
136         ,       2754,       1919,       2405
141         ,       2718,       1888,       2374
143         ,       2691,       1865,       2350
148         ,       2659,       1837,       2322
153         ,       2626,       1808,       2293
156         ,       2612,       1797,       2281
159         ,       2541,       1747,       2216
164         ,       2473,       1701,       2154
168         ,       2402,       1654,       2089
170         ,       2318,       1599,       2014
178         ,       2225,       1539,       1930
183         ,       2171,       1504,       1882
187         ,       2109,       1465,       1826
188         ,       2081,       1447,       1801
189         ,       2078,       1445,       1798
200         ,       2023,       1411,       1750
204         ,       1978,       1383,       1710
210         ,       1923,       1347,       1660
220         ,       1838,       1295,       1586
226         ,       1775,       1256,       1530
228         ,       1717,       1219,       1479
229         ,       1697,       1206,       1461
230         ,       1649,       1176,       1419
231         ,       1608,       1150,       1383
232         ,       1607,       1150,       1383
234         ,       1605,       1148,       1381
233         ,       1555,       1113,       1309
235         ,       1553,       1111,       1307
237         ,       1529,       1096,       1287
238         ,       1497,       1076,       1261
241         ,       1436,       1036,       1210
243         ,       1403,       1015,       1183
244         ,       1389,       1006,       1171
246         ,       1365,        990,       1151
247         ,       1356,        984,       1144
249         ,       1335,        970,       1127
250         ,       1321,        960,       1116
251         ,       1316,        957,       1112
252         ,       1315,        957,       1111
255         ,       1286,        937,       1087
257         ,       1263,        922,       1069
260         ,       1232,        902,       1043
262         ,       1206,        884,       1022
264         ,       1190,        873,       1009
268         ,       1157,        851,        982
271         ,       1131,        835,        961
277         ,       1089,        806,        927
284         ,       1063,        788,        905
288         ,       1055,        783,        898
292         ,       1039,        772,        885
294         ,       1025,        763,        874
296         ,       1018,        758,        867
300         ,       1004,        749,        856
302         ,        992,        741,        846
307         ,        983,        735,        839
312         ,        976,        730,        832
315         ,        966,        724,        824
321         ,        954,        715,        814
324         ,        940,        706,        802
327         ,        934,        702,        797
328         ,        934,        702,        797
329         ,        928,        698,        792
330         ,        927,        697,        791
333         ,        911,        687,        778
335         ,        904,        682,        772
337         ,        896,        676,        765
339         ,        893,        674,        763
350         ,        877,        663,        749
351         ,        875,        662,        747
353         ,        871,        659,        744
354         ,        870,        659,        743
355         ,        870,        659,        743
357         ,        860,        652,        735
360         ,        841,        639,        719
362         ,        827,        629,        707
369         ,        817,        622,        699
370         ,        808,        616,        691
376         ,        799,        610,        684
379         ,        793,        606,        679
383         ,        784,        599,        670
386         ,        778,        595,        665
388         ,        775,        593,        663
393         ,        764,        585,        654
397         ,        756,        580,        647
407         ,        746,        573,        639
410         ,        743,        570,        636
414         ,        738,        567,        632
420         ,        730,        561,        625
428         ,        721,        555,        617
434         ,        715,        551,        613
439         ,        708,        546,        607
445         ,        703,        542,        602
