Load, Connected KVA, Allocation Factor, Phases, kW, kvar, PF, Model
T226195333C,      0.0, 0.500, 1,      4.1,      1.1, 0.966, 1
T5223658A,      0.0, 0.500, 1,      1.8,      0.5, 0.966, 1
LN5958865-1,      0.0, 0.500, 1,    259.0,     69.7, 0.966, 1
LN6198133-1,      0.0, 0.500, 1,     -0.0,     -0.0, -0.000, 1
LN5686244-1,      0.0, 0.500, 1,     39.7,     10.6, 0.966, 1
LN6381855-1,      0.0, 0.500, 1,      6.2,      1.6, 0.967, 1
T21386877A,      0.0, 0.500, 1,      5.4,      1.4, 0.966, 1
T0107636A,      0.0, 0.500, 1,      9.0,      2.4, 0.966, 1
LN6140925-1,      0.0, 0.500, 1,     43.3,     11.5, 0.967, 1
LN5988007-1,      0.0, 0.500, 1,     18.1,      4.8, 0.966, 1
T5260630B,      0.0, 0.500, 1,      5.9,      1.6, 0.966, 1
LN5594243-1,      0.0, 0.500, 1,     55.9,     14.8, 0.966, 1
T5260631A,      0.0, 0.500, 1,      5.4,      1.4, 0.966, 1
LN5589096-1,      0.0, 0.500, 1,      9.0,      2.4, 0.966, 1
T5260634A,      0.0, 0.500, 1,      5.4,      1.4, 0.966, 1
T5260637C,      0.0, 0.500, 1,      4.1,      1.1, 0.966, 1
LN6232159-1,      0.0, 0.500, 1,      3.6,      1.0, 0.966, 1
LN5989329-1,      0.0, 0.500, 1,     26.8,      7.2, 0.966, 1
T5260641B,      0.0, 0.500, 1,     14.9,      4.0, 0.966, 1
LN5473439-1,      0.0, 0.500, 1,     23.5,      6.3, 0.966, 1
LN5746705-1,      0.0, 0.500, 1,      9.0,      2.4, 0.966, 1
T225700953A,      0.0, 0.500, 1,      5.4,      1.4, 0.966, 1
LN5866260-1,      0.0, 0.500, 1,     15.5,      4.1, 0.966, 1
LN6292614-1,      0.0, 0.500, 1,     37.1,      9.9, 0.966, 1
T5260515A,      0.0, 0.500, 1,      9.0,      2.4, 0.966, 1
T5260514C,      0.0, 0.500, 1,      6.2,      1.7, 0.966, 1
T21389307C,      0.0, 0.500, 1,     10.3,      2.8, 0.966, 1
T5260527B,      0.0, 0.500, 1,      9.9,      2.6, 0.966, 1
LN5625715-1,      0.0, 0.500, 1,     13.8,      3.6, 0.968, 1
LN5684859-1,      0.0, 0.500, 1,      9.9,      2.6, 0.966, 1
T5260476A,      0.0, 0.500, 1,      5.4,      1.4, 0.966, 1
LN6291288-3,      0.0, 0.500, 1,     45.1,     12.0, 0.966, 1
LN6048681-1,      0.0, 0.500, 1,      5.4,      1.4, 0.966, 1
LN5894225-1,      0.0, 0.500, 1,     35.6,      9.4, 0.967, 1
