Bus,  NumNodes, R1, X1, R0, X0, Z1, Z0, "X1/R1", "X0/R0"
"1", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"7", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"8", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"9", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"10", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"11", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"12", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"13", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"14", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"15", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"16", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"17", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"18", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"19", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"20", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"21", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"22", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"23", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"24", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"25", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"26", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"27", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"28", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"29", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"34", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"41", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"45", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"51", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"52", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"53", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"54", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"56", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"57", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"58", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"59", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"60", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"61", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"62", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"63", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"64", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"65", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"66", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"67", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"68", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"69", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"70", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"71", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
"73", 3,          0,          0,          0,          0,          0,          0,     1000,     1000
