Bus,  NumNodes, R1, X1, R0, X0, Z1, Z0, "X1/R1", "X0/R0"
"1", 3, 1.08056E-009,      0.001, 3.42039E-022,      0.001,      0.001,      0.001, 9.254E005, 2.924E018
"7", 3,   0.183546,    1.04653,   0.134257,    0.88786,    1.06251,   0.897954,    5.702,    6.613
"8", 3,   0.187854,    1.05277,   0.142885,   0.908799,     1.0694,   0.919963,    5.604,     6.36
"9", 3,   0.193415,    1.06079,   0.154074,    0.93569,    1.07827,    0.94829,    5.485,    6.073
"10", 3,   0.208722,     1.0827,   0.185162,     1.0089,    1.10264,    1.02575,    5.187,    5.449
"11", 3,   0.232505,     1.1163,   0.234299,    1.12033,    1.14026,    1.14457,    4.801,    4.782
"12", 3,   0.259993,    1.15447,   0.292335,    1.24569,    1.18339,    1.27953,     4.44,    4.261
"13", 3,   0.269952,    1.16813,   0.313685,    1.29021,    1.19892,     1.3278,    4.327,    4.113
"14", 3,   0.293889,    1.20058,   0.384475,    1.40895,    1.23603,    1.46046,    4.085,    3.665
"15", 3,   0.295038,    1.20129,   0.385536,    1.40965,    1.23699,    1.46142,    4.072,    3.656
"16", 3,   0.305322,    1.21507,    0.41623,    1.45949,    1.25284,    1.51769,     3.98,    3.506
"17", 3,   0.310109,    1.22145,   0.430482,    1.48238,     1.2602,    1.54362,    3.939,    3.444
"18", 3,   0.311241,    1.22214,   0.431521,    1.48305,    1.26115,    1.54456,    3.927,    3.437
"19", 3,     0.3238,    1.23878,   0.469057,    1.54234,     1.2804,    1.61209,    3.826,    3.288
"20", 3,   0.340799,     1.2613,   0.520076,    1.62178,    1.30653,    1.70313,    3.701,    3.118
"21", 3,   0.355881,    1.28107,   0.565665,    1.69067,    1.32959,    1.78279,      3.6,    2.989
"22", 3,    0.36843,     1.2974,   0.603811,    1.74697,     1.3487,    1.84838,    3.521,    2.893
"23", 3,   0.381906,    1.31479,   0.645007,    1.80632,    1.36913,    1.91803,    3.443,      2.8
"24", 3,   0.406472,     1.3461,   0.720694,     1.9116,    1.40613,    2.04294,    3.312,    2.652
"25", 3,   0.435171,    1.38206,   0.810083,    2.02988,    1.44895,    2.18555,    3.176,    2.506
"26", 3,    0.45456,    1.40598,   0.871052,    2.10699,    1.47764,    2.27995,    3.093,    2.419
"27", 3,   0.470236,    1.42512,   0.920673,    2.16774,    1.50069,    2.35515,    3.031,    2.355
"28", 3,   0.480107,    1.43707,   0.952071,    2.20524,    1.51514,    2.40199,    2.993,    2.316
"29", 3,   0.491876,    1.45122,   0.989656,    2.24922,    1.53231,    2.45732,     2.95,    2.273
"34", 3,   0.551329,    1.52459,     1.1783,    2.47508,    1.62122,    2.74124,    2.765,    2.101
"41", 3,   0.623539,    1.61025,    1.41249,    2.72369,    1.72677,    3.06816,    2.582,    1.928
"45", 3,   0.633291,    1.62157,     1.4445,     2.7553,    1.74084,    3.11099,    2.561,    1.907
"51", 3,    0.65828,    1.65028,    1.52696,    2.83422,    1.77673,    3.21938,    2.507,    1.856
"52", 3,   0.668164,    1.66152,    1.55975,    2.86458,    1.79084,     3.2617,    2.487,    1.837
"53", 3,   0.670396,    1.66406,    1.56716,    2.87141,    1.79403,    3.27124,    2.482,    1.832
