Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"1", 115, 1,      69715,    0.0,      1.05, 2,      69715, -120.0,      1.05, 3,      69715,  120.0,      1.05
"7", 12.47, 1,    7552.96,  -34.5,    1.0491, 2,    7540.34, -154.3,    1.0473, 3,    7560.51,   85.9,    1.0501
"8", 12.47, 1,    7550.56,  -34.5,    1.0488, 2,    7538.24, -154.3,     1.047, 3,    7559.71,   85.9,      1.05
"9", 12.47, 1,    7547.49,  -34.5,    1.0483, 2,    7535.54, -154.3,    1.0467, 3,    7558.69,   85.9,    1.0499
"10", 12.47, 1,    7539.05,  -34.6,    1.0472, 2,    7528.15, -154.4,    1.0456, 3,     7555.9,   85.8,    1.0495
"11", 12.47, 1,    7526.07,  -34.8,    1.0454, 2,    7516.79, -154.6,    1.0441, 3,    7551.64,   85.6,    1.0489
"12", 12.47, 1,    7511.25,  -35.0,    1.0433, 2,    7503.85, -154.8,    1.0423, 3,    7546.81,   85.5,    1.0482
"13", 12.47, 1,    7505.94,  -35.0,    1.0426, 2,    7499.21, -154.9,    1.0416, 3,    7545.08,   85.4,     1.048
"14", 12.47, 1,    7493.17,  -35.2,    1.0408, 2,    7488.01, -155.0,    1.0401, 3,    7541.25,   85.3,    1.0475
"15", 12.47, 1,    7492.59,  -35.2,    1.0407, 2,    7487.44, -155.0,      1.04, 3,    7540.77,   85.3,    1.0474
"16", 12.47, 1,    7487.16,  -35.3,    1.0399, 2,    7482.67, -155.1,    1.0393, 3,    7539.15,   85.2,    1.0472
"17", 12.47, 1,    7484.25,  -35.3,    1.0395, 2,    7480.09, -155.1,     1.039, 3,    7538.06,   85.2,     1.047
"18", 12.47, 1,    7483.63,  -35.3,    1.0395, 2,    7479.48, -155.1,    1.0389, 3,    7537.53,   85.2,    1.0469
"19", 12.47, 1,    7476.04,  -35.4,    1.0384, 2,    7472.73, -155.2,    1.0379, 3,    7534.67,   85.1,    1.0465
"20", 12.47, 1,    7464.89,  -35.5,    1.0369, 2,    7464.07, -155.4,    1.0367, 3,    7531.99,   85.0,    1.0462
"21", 12.47, 1,    7455.07,  -35.6,    1.0355, 2,    7456.46, -155.5,    1.0357, 3,    7529.64,   84.9,    1.0458
"22", 12.47, 1,    7447.08,  -35.6,    1.0344, 2,    7450.06, -155.6,    1.0348, 3,    7527.74,   84.9,    1.0456
"23", 12.47, 1,    7438.53,  -35.7,    1.0332, 2,    7443.23, -155.7,    1.0338, 3,    7525.72,   84.8,    1.0453
"24", 12.47, 1,    7423.05,  -35.9,     1.031, 2,    7430.91, -155.8,    1.0321, 3,    7522.12,   84.7,    1.0448
"25", 12.47, 1,    7405.15,  -36.0,    1.0286, 2,    7416.71, -156.0,    1.0302, 3,    7517.99,   84.5,    1.0442
"26", 12.47, 1,    7393.21,  -36.2,    1.0269, 2,     7407.2, -156.2,    1.0288, 3,    7515.26,   84.4,    1.0439
"27", 12.47, 1,    7383.65,  -36.3,    1.0256, 2,    7399.55, -156.3,    1.0278, 3,    7513.08,   84.4,    1.0435
"28", 12.47, 1,    7377.66,  -36.3,    1.0247, 2,    7394.77, -156.3,    1.0271, 3,    7511.73,   84.3,    1.0434
"29", 12.47, 1,    7370.55,  -36.4,    1.0238, 2,    7389.09, -156.4,    1.0263, 3,    7510.12,   84.3,    1.0431
"34", 12.47, 1,    7335.56,  -36.8,    1.0189, 2,    7362.21, -156.8,    1.0226, 3,    7502.32,   84.0,    1.0421
"41", 12.47, 1,    7294.13,  -37.2,    1.0131, 2,    7330.59, -157.3,    1.0182, 3,    7493.24,   83.6,    1.0408
"45", 12.47, 1,    7288.54,  -37.2,    1.0124, 2,    7326.44, -157.4,    1.0176, 3,    7492.16,   83.6,    1.0406
