
CONTROLLED TRANSFORMER TAP SETTINGS

Name            Tap      Min       Max     Step  Position

vreg4_a       1.05625  0.90000  1.10000  0.00625     9
vreg4_b       1.05625  0.90000  1.10000  0.00625     9
vreg4_c       1.02500  0.90000  1.10000  0.00625     4
vreg3_a       1.08125  0.90000  1.10000  0.00625     13
vreg2_a       1.03750  0.90000  1.10000  0.00625     6
vreg2_b       1.01875  0.90000  1.10000  0.00625     3
vreg2_c       1.00625  0.90000  1.10000  0.00625     1
vreg3_b       1.05000  0.90000  1.10000  0.00625     8
vreg3_c       1.00000  0.90000  1.10000  0.00625     0
feeder_rega   1.01250  0.90000  1.10000  0.00625     2
feeder_regb   1.01250  0.90000  1.10000  0.00625     2
feeder_regc   1.00625  0.90000  1.10000  0.00625     1
