
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

1        69.72       1.05  3.175E-008  4.554E-008 4.535E-009 6.505E-009
7        7.639      1.061    0.01577     0.2065   0.01577    0.2064
8        7.639      1.061    0.01577     0.2065   0.01577    0.2064
9        7.639      1.061    0.01577     0.2065   0.01577    0.2065
10       7.639      1.061    0.01577     0.2065   0.01577    0.2065
11       7.639      1.061    0.01577     0.2065   0.01578    0.2065
12       7.639      1.061    0.01577     0.2065   0.01578    0.2066
13       7.639      1.061    0.01577     0.2065   0.01578    0.2066
14       7.639      1.061    0.01577     0.2065   0.01578    0.2066
15       7.639      1.061    0.01577     0.2065   0.01578    0.2066
16       7.639      1.061    0.01577     0.2065   0.01579    0.2067
17       7.639      1.061    0.01577     0.2065   0.01579    0.2067
18       7.639      1.061    0.01577     0.2065   0.01579    0.2067
19       7.639      1.061    0.01578     0.2065   0.01579    0.2067
20       7.639      1.061    0.01578     0.2065   0.01579    0.2067
21       7.639      1.061    0.01578     0.2065   0.01579    0.2067
22       7.639      1.061    0.01578     0.2065    0.0158    0.2068
23       7.639      1.061    0.01578     0.2065    0.0158    0.2068
24       7.639      1.061    0.01578     0.2065    0.0158    0.2068
25       7.639      1.061    0.01578     0.2065   0.01581    0.2069
26       7.639      1.061    0.01578     0.2066   0.01581    0.2069
27       7.639      1.061    0.01578     0.2066   0.01581     0.207
28       7.639      1.061    0.01578     0.2066   0.01581     0.207
29       7.639      1.061    0.01578     0.2066   0.01581     0.207
34       7.639      1.061    0.01578     0.2066   0.01582    0.2071
41       7.639      1.061    0.01578     0.2066   0.01583    0.2073
45       7.639      1.061    0.01578     0.2066   0.01583    0.2073
51       7.639      1.061    0.01578     0.2066   0.01584    0.2073
52       7.639      1.061    0.01578     0.2066   0.01584    0.2073
53       7.639      1.061    0.01578     0.2066   0.01584    0.2073
54       7.639      1.061    0.01578     0.2066   0.01584    0.2074
56       7.639      1.061    0.01578     0.2066   0.01584    0.2074
57       7.639      1.061    0.01578     0.2066   0.01585    0.2074
58       7.639      1.061    0.01579     0.2066   0.01585    0.2074
59       7.639      1.061    0.01579     0.2066   0.01585    0.2074
60       7.639      1.061    0.01579     0.2066   0.01585    0.2075
61       7.639      1.061    0.01579     0.2066   0.01585    0.2075
62       7.639      1.061    0.01579     0.2066   0.01585    0.2075
63       7.639      1.061    0.01579     0.2066   0.01585    0.2075
64       7.639      1.061    0.01579     0.2066   0.01585    0.2075
65       7.639      1.061    0.01579     0.2066   0.01585    0.2075
66       7.639      1.061    0.01579     0.2066   0.01585    0.2075
67       7.639      1.061    0.01579     0.2066   0.01585    0.2075
68       7.639      1.061    0.01579     0.2066   0.01585    0.2075
69       7.639      1.061    0.01579     0.2067   0.01586    0.2076
70       7.639      1.061    0.01579     0.2067   0.01586    0.2076
71       7.639      1.061    0.01579     0.2067   0.01586    0.2076
73       7.639      1.061    0.01579     0.2067   0.01586    0.2076
79       7.639      1.061    0.01579     0.2067   0.01586    0.2076
80       7.639      1.061    0.01579     0.2067   0.01586    0.2076
82       7.639      1.061    0.01579     0.2067   0.01586    0.2076
84       7.639      1.061    0.01579     0.2067   0.01586    0.2076
86       7.639      1.061    0.01579     0.2067   0.01586    0.2076
90       7.639      1.061    0.01579     0.2067   0.01586    0.2076
91       7.639      1.061    0.01579     0.2067   0.01586    0.2076
93       7.639      1.061    0.01579     0.2067   0.01586    0.2076
95       7.639      1.061    0.01579     0.2067   0.01586    0.2076
96       7.639      1.061    0.01579     0.2067   0.01586    0.2076
98       7.639      1.061    0.01579     0.2067   0.01586    0.2076
99       7.639      1.061    0.01579     0.2067   0.01586    0.2077
100      7.639      1.061    0.01579     0.2067   0.01586    0.2077
102      7.639      1.061    0.01579     0.2067   0.01586    0.2077
106      7.639      1.061    0.01579     0.2067   0.01586    0.2077
111      7.639      1.061    0.01579     0.2067   0.01586    0.2077
124      7.639      1.061    0.01579     0.2067   0.01586    0.2077
101      7.639      1.061    0.01579     0.2067   0.01586    0.2077
104      7.639      1.061    0.01579     0.2067   0.01586    0.2077
105      7.639      1.061    0.01579     0.2067   0.01586    0.2077
107      7.639      1.061    0.01579     0.2067   0.01586    0.2077
110      7.639      1.061    0.01579     0.2067   0.01586    0.2077
114      7.639      1.061    0.01579     0.2067   0.01586    0.2077
115      7.639      1.061    0.01579     0.2067   0.01586    0.2077
118      7.639      1.061    0.01579     0.2067   0.01586    0.2077
119      7.639      1.061    0.01579     0.2067   0.01586    0.2077
121      7.639      1.061    0.01579     0.2067   0.01586    0.2077
128      7.639      1.061    0.01579     0.2067   0.01587    0.2077
129      7.639      1.061    0.01579     0.2067   0.01587    0.2077
131      7.639      1.061    0.01579     0.2067   0.01587    0.2077
132      7.639      1.061    0.01579     0.2067   0.01587    0.2077
136      7.639      1.061    0.01579     0.2067   0.01587    0.2077
141      7.639      1.061    0.01579     0.2067   0.01587    0.2077
143      7.639      1.061    0.01579     0.2067   0.01587    0.2077
148      7.639      1.061    0.01579     0.2067   0.01587    0.2077
153      7.639      1.061    0.01579     0.2067   0.01587    0.2077
156      7.639      1.061    0.01579     0.2067   0.01587    0.2077
159      7.639      1.061    0.01579     0.2067   0.01587    0.2077
164      7.639      1.061    0.01579     0.2067   0.01587    0.2077
168      7.639      1.061    0.01579     0.2067   0.01587    0.2077
170      7.639      1.061    0.01579     0.2067   0.01587    0.2077
178      7.639      1.061    0.01579     0.2067   0.01587    0.2077
183      7.639      1.061    0.01579     0.2067   0.01587    0.2077
187      7.639      1.061    0.01579     0.2067   0.01587    0.2077
188      7.639      1.061    0.01579     0.2067   0.01587    0.2077
189      7.639      1.061    0.01579     0.2067   0.01587    0.2077
200      7.639      1.061    0.01579     0.2067   0.01587    0.2077
204      7.639      1.061    0.01579     0.2067   0.01587    0.2077
210      7.639      1.061    0.01579     0.2067   0.01587    0.2077
220      7.639      1.061    0.01579     0.2067   0.01587    0.2077
226      7.639      1.061    0.01579     0.2067   0.01587    0.2077
228      7.639      1.061    0.01579     0.2067   0.01587    0.2078
229      7.639      1.061    0.01579     0.2067   0.01587    0.2078
230      7.639      1.061    0.01579     0.2067   0.01587    0.2078
231      7.639      1.061    0.01579     0.2067   0.01587    0.2078
232      7.639      1.061    0.01579     0.2067   0.01587    0.2078
234      7.639      1.061    0.01579     0.2067   0.01587    0.2078
233      8.101      1.125     0.1279      1.579     0.128      1.58
235      8.101      1.125     0.1279      1.579     0.128      1.58
237      8.101      1.125     0.1279      1.579     0.128      1.58
238      8.101      1.125     0.1279      1.579     0.128      1.58
241      8.101      1.125     0.1279      1.579     0.128      1.58
243      8.101      1.125     0.1279      1.579     0.128      1.58
244      8.101      1.125     0.1279      1.579     0.128      1.58
246      8.101      1.125     0.1279      1.579     0.128      1.58
247      8.101      1.125     0.1279      1.579     0.128      1.58
249      8.101      1.125     0.1279      1.579     0.128      1.58
250      8.101      1.125     0.1279      1.579     0.128      1.58
251      8.101      1.125     0.1279      1.579     0.128      1.58
252      8.101      1.125     0.1279      1.579     0.128      1.58
255      8.101      1.125     0.1279      1.579     0.128      1.58
257      8.101      1.125     0.1279      1.579     0.128      1.58
260      8.101      1.125     0.1279      1.579     0.128      1.58
262      8.101      1.125     0.1279      1.579     0.128      1.58
264      8.101      1.125     0.1279      1.579     0.128      1.58
268      8.101      1.125     0.1279      1.579     0.128      1.58
271      8.101      1.125     0.1279      1.579     0.128      1.58
277      8.101      1.125     0.1279      1.579     0.128      1.58
