device_type,device_name
Capacitor,CapBank0A
Capacitor,CapBank0B
Capacitor,CapBank0C
Capacitor,CapBank1A
Capacitor,CapBank1B
Capacitor,CapBank1C
Capacitor,CapBank2A
Capacitor,CapBank2B
Capacitor,CapBank2C
Capacitor,CapBank3
PVSystem,DER1
PVSystem,DER2
PVSystem,DER3
PVSystem,DER4
PVSystem,DER5
PVSystem,DER6
PVSystem,DER7
PVSystem,DER8
PVSystem,DER9
PVSystem,DER10
PVSystem,DER11
PVSystem,DER12
PVSystem,DER13
PVSystem,DER14
PVSystem,DER15
PVSystem,DER16
PVSystem,DER17
PVSystem,DER18
PVSystem,DER19
PVSystem,DER20
PVSystem,DER21
PVSystem,DER22
PVSystem,DER23
PVSystem,DER24
PVSystem,DER25
Transformer,Feeder_RegA
Transformer,Feeder_RegB
Transformer,Feeder_RegC
Transformer,VREG2_A
Transformer,VREG2_B
Transformer,VREG2_C
Transformer,VREG3_A
Transformer,VREG3_B
Transformer,VREG3_C
Transformer,VREG4_A
Transformer,VREG4_B
Transformer,VREG4_C
Transformer,HVMV_SUB
Load,T226195333C
Load,T5223658A
Load,LN5958865-1
Load,LN6198133-1
Load,LN5686244-1
Load,LN6381855-1
Load,T21386877A
Load,T0107636A
Load,LN6140925-1
Load,LN5988007-1
Load,T5260630B
Load,LN5594243-1
Load,T5260631A
Load,LN5589096-1
Load,T5260634A
Load,T5260637C
Load,LN6232159-1
Load,LN5989329-1
Load,T5260641B
Load,LN5473439-1
Load,LN5746705-1
Load,T225700953A
Load,LN5866260-1
Load,LN6292614-1
Load,T5260515A
Load,T5260514C
Load,T21389307C
Load,T5260527B
Load,LN5625715-1
Load,LN5684859-1
Load,T5260476A
Load,LN6291288-3
Load,LN6048681-1
Load,LN5894225-1
Load,T5260479A
Load,T5260480C
Load,T5260481C
Load,T5260484A
Load,LN6171683-1
Load,LN7064337-2
Load,LN6049963-1
Load,T21389092B
Load,T5260505C
Load,LN5595583-1
Load,T5260508A
Load,LN6332133-1
Load,LN6351523-3
Load,LN5896844-1
Load,T5207290A
Load,LN5807090-1
Load,LN6195132-1
Load,T5207286C
Load,T5247184C
Load,T5247185B
Load,T21389962C
Load,T225918936C
Load,T225918926B
Load,T5247036C
Load,LN6411382-1
Load,LN5472361-1
Load,LN5679773-1
Load,T5138265A
Load,T5138264B
Load,LN6409869-1
Load,T5138262A
Load,LN5625547-1
Load,LN6047570-1
Load,LN6411380-1
Load,LN6199521-1
Load,LN5776667-1
Load,LN6138609-1
Load,LN6017300-1
Load,LN5774463-1
Load,LN6413565-1
Load,LN6108126-1
Load,T5138655A
Load,T5138652C
Load,T5138649A
Load,LN5926297-1
Load,LN5744334-1
Load,LN6290207-1
Load,LN5472350-1
Load,LN5623393-1
Load,T5138644A
Load,T5138642A
Load,LN5774468-1
Load,LN5716231-1
Load,LN5926309-2
Load,T5138720A
Load,T5138719A
Load,T5138718C
Load,LN6199529-1
Load,LN5472371-1
Load,T5302734A
Load,LN6073648-1
Load,T5302733B
Load,T5302733A
Load,LN5837356-1
Load,T5293518B
Load,T5293519B
Load,LN6138640-1
Load,LN5956502-1
Load,T5293521C
Load,T5293521B
Load,T5293521A
Load,LN6014135-1
Load,T5293486C
Load,T5293487B
Load,LN5986964-1
Load,T226192684A
Load,LN5956501-1
Load,T5293425A
Load,LN6199561-1
Load,T21399361B
Load,T5293423B
Load,LN5653492-1
Load,T5302507B
Load,LN5562937-2
Load,LN6140777-1
Load,T5302375B
Load,LN5744343-2
Load,LN6409762-1
Load,LN6047581-1
Load,LN6199524-1
Load,LN5502541-1
Load,LN6140778-1
Load,T5293471C
Load,T5293471B
Load,T5293471A
Load,T21384099C
Load,T21384099B
Load,T21384099A
Load,T228091193C
Load,T228091193B
Load,T228091193A
Load,T5260543C
Load,T5260551C
Load,LN6103927-1
Load,LN5528574-2
Load,LN5800724-1
Load,LN5989326-1
Load,LN6346338-1
Load,LN5651987-1
Load,T226194419C
Load,LN5591708-1
Load,T226194421C
Load,LN6289479-1
Load,T5260574C
Load,LN6103926-1
Load,T5260577C
Load,LN5861084-1
Load,LN6255845-1
Load,LN5561444-1
Load,T5260595C
Load,T5260595B
Load,T5260595A
Load,LN6170199-2
Load,T5260598A
Load,T228001810A
Load,T5260605A
Load,T5251828B
Load,T226194826A
Load,T226197070A
Load,LN5565229-1
Load,T5356814C
Load,LN6292600-1
Load,T5356810C
Load,T5328367C
Load,LN5500985-1
Load,T21469911A
Load,T5328365B
Load,T21380325B
Load,T5328364C
Load,LN5563852-1
Load,LN5830952-1
Load,LN5863718-1
Load,LN6437384-1
Load,LN5867448-1
Load,LN6103924-1
Load,T5339048A
Load,LN5861081-1
Load,T5339052C
Load,T5339051C
Load,T5338979B
Load,T5338978C
Load,LN6171506-1
Load,T5338976B
Load,LN6138623-1
Load,LN6413568-1
Load,T5338972B
Load,LN6047575-2
Load,LN5562931-2
Load,LN5714052-2
Load,LN6047574-2
Load,LN5532752-2
Load,LN6411386-2
Load,LN6129680-2
Load,LN6411387-1
Load,T5338937C
Load,LN5773033-1
Load,T226192936B
Load,T5338947B
Load,LN5682337-1
Load,T5338949B
Load,T5338950B
Load,LN6987572-4
Load,T226192926A
Load,T5338953B
Load,LN5928543-1
Load,LN6437757-1
Load,T5338955B
Load,LN5958701-1
Load,LN5504712-1
Load,LN5898056-1
Load,LN5565091-1
Load,T5337653B
Load,T5337652B
Load,T5337648B
Load,LN5898057-1
Load,LN5859996-1
Load,LN6049824-1
Load,T226193745B
Load,LN6352701-1
Load,T225533703C
Load,LN6352702-1
Load,T5337661B
Load,LN5958707-1
Load,LN5532786-2
Load,LN5898055-2
Load,T5337668B
Load,LN6201694-1
Load,LN5712475-1
Load,LN6290202-1
Load,T21386754A
Load,LN6049822-1
Load,T5337672B
Load,LN5867449-1
Load,T226193702C
Load,T226193698C
Load,T226193696A
Load,LN7061777-3
Load,T5337684A
Load,LN5970852-1
Load,LN5970852-11
Load,T5338941C
Load,T21399099A
Load,T5338942A
Load,LN6229803-2
Load,T21399112C
Load,LN6259998-2
Load,LN6290214-1
Load,LN6259999-2
Load,LN6140776-1
Load,T5293645A
Load,T5293652C
Load,T5293652B
Load,T5293652A
Load,LN5774470-3
Load,T5293656B
Load,LN5741170-3
Load,LN6286966-3
Load,LN5532788-2
Load,T5293663C
Load,LN6506308-1
Load,LN5833721-1
Load,T28120126C
Load,T28120126B
Load,T28120126A
Load,LN5655685-1
Load,LN5837358-1
Load,LN5986938-2
Load,T21399229A
Load,T21399305A
Load,T5391980A
Load,LN6505951-1
Load,LN6199523-2
Load,LN5683827-2
Load,LN6108140-2
Load,T5391973C
Load,LN6439600-1
Load,LN5865246-2
Load,LN5502536-2
Load,LN5774488-1
Load,T21393643C
Load,T21393643B
Load,T21393643A
Load,T5293664C
Load,T5293664B
Load,T5293664A
Load,LN6196270-4
Load,T5293655C
Load,T5293655B
Load,T5293655A
Load,T226192994A
Load,T5338936C
Load,LN6025724-2
Load,LN5661951-2
Load,LN6268990-3
Load,T5338926A
Load,LN6108128-2
Load,T5338925A
Load,LN5774455-2
Load,T5338922B
Load,LN5986926-2
Load,LN6392124-1
Load,T5338921A
Load,LN6229795-3
Load,LN5496764-1
Load,T226193134C
Load,LN5981120-1
Load,LN5803264-2
Load,LN5863709-1
Load,T5338910C
Load,LN5682448-2
Load,LN5835136-2
Load,LN5502526-2
Load,T5338898A
Load,T2224500658A
Load,T226193345A
Load,LN5804798-2
Load,LN5776665-1
Load,LN6409775-3
Load,LN6292466-1
Load,T228665517C
Load,LN5565092-1
Load,LN81354563-2
Load,LN81354561-2
Load,LN5928545-1
Load,T5338934B
Load,T5338933B
Load,LN6900590-2
Load,T5441331C
Load,LN5682327-1
Load,LN5774469-1
Load,T5355944B
Load,LN6019479-1
Load,T5355840B
Load,LN6225673-1
Load,T226191772C
Load,LN5695520-1
Load,LN6411373-2
Load,LN6383058-1
Load,LN5916435-1
Load,T5355777B
Load,LN6169249-2
Load,T5355780B
Load,LN6341781-2
Load,LN6440004-2
Load,T225806974A
Load,LN5487004-6
Load,LN6167754-2
Load,LN5852082-1
Load,LN5894237-1
Load,LN5863746-1
Load,LN5531255-2
Load,T5355375A
Load,LN5502549-1
Load,LN6138616-1
Load,LN5502529-1
Load,LN6320338-1
Load,LN5532749-2
Load,T5356062B
Load,T5356063C
Load,LN5655682-1
Load,T5321840B
Load,LN5776666-1
Load,LN6879074-1
Load,LN5865240-1
Load,LN5744360-1
Load,T5321852C
Load,T5321853B
Load,LN5863699-1
Load,LN5865237-1
Load,T5321859B
Load,LN5806920-1
Load,LN6019477-1
Load,LN6379450-2
Load,LN6228328-1
Load,T5338977C
Load,T5338977B
Load,T5338977A
Load,LN6348946-1
Load,T5338984A
Load,LN6407207-1
Load,LN5898408-1
Load,LN5894211-1
Load,LN6258445-1
Load,LN6076243-1
Load,LN5472384-2
Load,LN6041764-1
Load,T5260602B
Load,LN81048088-1
Load,LN81048087-1
Load,T5337614B
Load,T21482181A
Load,T227760024C
Load,T227760024B
Load,T227760024A
Load,T227921427C
Load,T227921427B
Load,T227921427A
Load,T5337729C
Load,T5337729B
Load,T5337729A
Load,T227187012C
Load,T227187012B
Load,T227187012A
Load,T5337619C
Load,T5337619B
Load,T5337619A
Load,T227760021C
Load,T227760021B
Load,T227760021A
